"Step","prosqa-coconut - eval/acc","prosqa-coconut - eval/acc__MIN","prosqa-coconut - eval/acc__MAX"
"6714","0.72","0.72","0.72"
"17905","0.7466666666666667","0.7466666666666667","0.7466666666666667"
"29096","0.5933333333333334","0.5933333333333334","0.5933333333333334"
"40287","0.7333333333333333","0.7333333333333333","0.7333333333333333"
"51478","0.7766666666666666","0.7766666666666666","0.7766666666666666"
"62669","0.83","0.83","0.83"
