"Step","prosqa-coconut - eval/loss","prosqa-coconut - eval/loss__MIN","prosqa-coconut - eval/loss__MAX"
"2237","0.05814401726973684","0.05814401726973684","0.05814401726973684"
"4475","0.052830746299342105","0.052830746299342105","0.052830746299342105"
"6713","0.05137875205592105","0.05137875205592105","0.05137875205592105"
"8952","0.09164268092105263","0.09164268092105263","0.09164268092105263"
"11190","0.06461374383223684","0.06461374383223684","0.06461374383223684"
"13428","0.059788754111842105","0.059788754111842105","0.059788754111842105"
"15666","0.057328073601973686","0.057328073601973686","0.057328073601973686"
"17904","0.05737947162828947","0.05737947162828947","0.05737947162828947"
"20143","0.10295024671052631","0.10295024671052631","0.10295024671052631"
"22381","0.09809313322368421","0.09809313322368421","0.09809313322368421"
"24619","0.0976819490131579","0.0976819490131579","0.0976819490131579"
"26857","0.09341591282894737","0.09341591282894737","0.09341591282894737"
"29095","0.09212453741776316","0.09212453741776316","0.09212453741776316"
"31334","0.13272255345394737","0.13272255345394737","0.13272255345394737"
"33572","0.12879060444078946","0.12879060444078946","0.12879060444078946"
"35810","0.12219880756578948","0.12219880756578948","0.12219880756578948"
"38048","0.12149208470394737","0.12149208470394737","0.12149208470394737"
"40286","0.11854954769736842","0.11854954769736842","0.11854954769736842"
"42525","0.09368575246710527","0.09368575246710527","0.09368575246710527"
"44763","0.09321032072368421","0.09321032072368421","0.09321032072368421"
"47001","0.09287623355263158","0.09287623355263158","0.09287623355263158"
"49239","0.09386243318256579","0.09386243318256579","0.09386243318256579"
"51477","0.08815403988486842","0.08815403988486842","0.08815403988486842"
"53716","0.05432851690995066","0.05432851690995066","0.05432851690995066"
"55954","0.05468428762335526","0.05468428762335526","0.05468428762335526"
"58192","0.055174175061677634","0.055174175061677634","0.055174175061677634"
"60430","0.053692867881373355","0.053692867881373355","0.053692867881373355"
"62668","0.053700497275904605","0.053700497275904605","0.053700497275904605"
