"Step","prosqa-coconut - eval/acc","prosqa-coconut - eval/acc__MIN","prosqa-coconut - eval/acc__MAX"
"2238","0.48333333333333334","0.48333333333333334","0.48333333333333334"
"4477","0.69","0.69","0.69"
